Titolo,Minuti,Lingue,Note,Copie,Proprietario,Giocatori,BGG_ID,Bgg_Link,Bgg_XML,BGG_Image,BGG_Thumb,SEARCH_BGG_IMAGE,SEARCH_BGG_THUMB,Barcode
21 Giochi Minuti,15-45,,,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",356999,https://boardgamegeek.com/boardgame/356999/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=356999,https://cf.geekdo-images.com/4RqAkODjriLj67lnKVenIg__original/img/BHHS3p8uIv1bE6mgYaEI8fbYTYI=/0x0/filters:format(png)/pic6687277.png,https://cf.geekdo-images.com/4RqAkODjriLj67lnKVenIg__thumb/img/M2-t5Xh85IWBqW5ApyyHXvU6XTg=/fit-in/200x150/filters:strip_icc()/pic6687277.png,,,
50 clues - escape thriller (minigioco),20,,è in una busta,1,,"1, 2, 3, 4, 5",,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
7 Wonders,30,"🇮🇹, 🇬🇧",,1,,"2, 3, 4, 5, 6, 7",68448,https://boardgamegeek.com/boardgame/68448/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=68448,https://cf.geekdo-images.com/35h9Za_JvMMMtx_92kT0Jg__original/img/jt70jJDZ1y1FWJs4ZQf5FI8APVY=/0x0/filters:format(jpeg)/pic7149798.jpg,https://cf.geekdo-images.com/35h9Za_JvMMMtx_92kT0Jg__thumb/img/BUOso8b0M1aUOkU80FWlhE8uuxc=/fit-in/200x150/filters:strip_icc()/pic7149798.jpg,,,DD159
7 Wonders - Architects,25,,,1,,"2, 3, 4, 5, 6, 7",346703,https://boardgamegeek.com/boardgame/346703/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=346703,https://cf.geekdo-images.com/BGtYtHbLgYhYyNMoyOm1RA__original/img/05P7xaW8B4ueCvItryBjO5wVA5s=/0x0/filters:format(jpeg)/pic7416525.jpg,https://cf.geekdo-images.com/BGtYtHbLgYhYyNMoyOm1RA__thumb/img/Qml2TbcN2IyaA-PtHKcIrhnELd4=/fit-in/200x150/filters:strip_icc()/pic7416525.jpg,,,DD328
7 Wonders - Armada (Espansione),40,,Espansione,1,,"3, 4, 5, 6, 7",247315,https://boardgamegeek.com/boardgame/247315/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=247315,https://cf.geekdo-images.com/KffEZ2wBeOQxRH5Lve54GA__original/img/nxsfgHZBrIUwfm2QbCsvKotOpUc=/0x0/filters:format(jpeg)/pic4268517.jpg,https://cf.geekdo-images.com/KffEZ2wBeOQxRH5Lve54GA__thumb/img/5O46f3m2___cCyd_HbuhG1KNWO8=/fit-in/200x150/filters:strip_icc()/pic4268517.jpg,,,
7 Wonders - Duel ,30,,,1,,2,173346,https://boardgamegeek.com/boardgame/173346/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=173346,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__original/img/Ju836WNSaW7Mab9Vjq2TJ_FqhWQ=/0x0/filters:format(jpeg)/pic2576399.jpg,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__thumb/img/gV1-ckZSIC-dCxxpq1Y7GmPITzQ=/fit-in/200x150/filters:strip_icc()/pic2576399.jpg,,,DD326
A Game of Cat & Mouth,15,,,1,,2,321539,https://boardgamegeek.com/boardgame/321539/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=321539,https://cf.geekdo-images.com/1_cEnRN2mdmxUdeTjjtiaA__original/img/yPSlbK3ST_8GOxcQJEpmCz94lw4=/0x0/filters:format(jpeg)/pic6974496.jpg,https://cf.geekdo-images.com/1_cEnRN2mdmxUdeTjjtiaA__thumb/img/iD10KpE1Ke30hlI5xjks0gvajXQ=/fit-in/200x150/filters:strip_icc()/pic6974496.jpg,,,DD003
A tale of pirates,10,,,1,,"2, 3, 4",173096,https://boardgamegeek.com/boardgame/173096/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=173096,https://cf.geekdo-images.com/UhtxFEXDXOmxyMf0wsnIrA__original/img/VRvop7Xu98fiPdjozAZIo_o_ufc=/0x0/filters:format(png)/pic4231262.png,https://cf.geekdo-images.com/UhtxFEXDXOmxyMf0wsnIrA__thumb/img/GwRP4puZbkO0P0yzm0TG6Bjhqac=/fit-in/200x150/filters:strip_icc()/pic4231262.png,,,DD005
A War of Whispers,,,,,,,253499,https://boardgamegeek.com/boardgame/253499/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=253499,https://cf.geekdo-images.com/D3Fl15xiRd0QtghO0ZBiRA__original/img/c88Nn0ANeyrOF6cGvmKYazDtVSw=/0x0/filters:format(jpeg)/pic4150994.jpg,https://cf.geekdo-images.com/D3Fl15xiRd0QtghO0ZBiRA__thumb/img/6HGGwpXvSqqHCUiDZxf-33V8i7Q=/fit-in/200x150/filters:strip_icc()/pic4150994.jpg,,,
Adrenalina,60,,,1,,"3, 4, 5",202408,https://boardgamegeek.com/boardgame/202408/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=202408,https://cf.geekdo-images.com/TiNI7bUCR2RPFMlvKEC9TQ__original/img/MEvPkkVu15k4DWM8CS41a-j5TL8=/0x0/filters:format(jpeg)/pic3476604.jpg,https://cf.geekdo-images.com/TiNI7bUCR2RPFMlvKEC9TQ__thumb/img/nnWEA6jjVsxPSuEC_Ooph9kzO_g=/fit-in/200x150/filters:strip_icc()/pic3476604.jpg,,,
